"Pattern1"	"Pattern2"	"Pattern3"	"Pattern4"	"Pattern5"	"MAP"	"PPDE"
"ENSMUSG00000027356_Fermt1"	0.000143917686300326	9.7448262731044e-07	2.62115340691481e-05	0.992838655093147	0.0069902412038562	"Pattern4"	0.9998560823137
"ENSMUSG00000047230_Cldn2"	0.000150558820917748	3.50040458078663e-07	3.27071176053482e-06	0.998208111288324	0.00163770913853988	"Pattern4"	0.999849441179082
"ENSMUSG00000068270_Shroom4"	0.000151347206158533	0.998736522233192	4.8310056913745e-06	5.00944353106682e-06	0.00110229011142724	"Pattern2"	0.999848652793841
"ENSMUSG00000031351_Zfp185"	0.000167117011417398	0.0174338534947028	0.965087628683436	3.40455647807742e-07	0.0173110603547964	"Pattern3"	0.999832882988583
"ENSMUSG00000057440_Mpp7"	0.000168616898846954	0.998709792626385	3.11015970085156e-07	0.000128212738788806	0.0009930667200088	"Pattern2"	0.999831383101153
"ENSMUSG00000027490_E2f1"	0.000172405757943315	0.000304421565542637	1.04786485280658e-06	0.997742725464567	0.00177939934709393	"Pattern4"	0.999827594242057
"ENSMUSG00000026222_Sp100"	0.00017653104343509	5.38214028592094e-07	0.992873819244233	0.00125410930593936	0.00569500219236391	"Pattern3"	0.999823468956565
"ENSMUSG00000047021_Ccdc108"	0.000188714259396113	6.04362900801027e-07	4.88957039730164e-06	0.997646761373002	0.00215903043430404	"Pattern4"	0.999811285740604
"ENSMUSG00000009470_Tnpo1"	0.000196978857061702	0.000120306187447547	0.998111651000947	1.75522253128569e-06	0.00156930873201217	"Pattern3"	0.999803021142938
"ENSMUSG00000055137_5033411D12Rik"	0.000198889175817496	0.997632890861023	6.32235639907605e-05	1.12883240974788e-05	0.00209370807507152	"Pattern2"	0.999801110824182
"ENSMUSG00000022759_4930451C15Rik"	0.000226956143357939	1.56563508696878e-06	1.07350251127455e-05	0.995302751595009	0.00445799160143373	"Pattern4"	0.999773043856642
"ENSMUSG00000003617_Cp"	0.000232004515035253	0.999501248771467	1.54489023047782e-06	2.63762919586457e-05	0.000238825531308678	"Pattern2"	0.999767995484965
"ENSMUSG00000018340_Anxa6"	0.000274483598057642	0.999615964669935	4.42491192625986e-07	5.08716822409994e-06	0.000104022072590314	"Pattern2"	0.999725516401942
